Company,City,employee_as_of,Remote_Flag,years_at_company,years_of_exp,total_comp,base_salary,stock_rsu_comp,annual_target_bonus
PwC,"San Francisco, CA",Offer from 03/20/2023,Office,0 yrs,0 yrs,"$95,375","$85,000",--,"$10,375"
Avanade,"Chicago, IL",Employee as of 03/20/2023,Remote,2 yrs,10 yrs,"$98,000","$98,000",--,--
LinkedIn,"San Francisco, CA",Employee as of 03/20/2023,Hybrid,1 yrs,5 yrs,"$163,750","$122,500","$28,750","$12,500"
Best Buy,Minneapolis-St. Paul,Employee as of 03/20/2023,Hybrid,2-4 yrs,5-10 yrs,"$105,000","$95,000",--,"$10,000"
American Systems,"Chantilly, VA",Employee as of 03/20/2023,Remote,1 yrs,6 yrs,"$126,000","$121,000",--,"$5,000"
Bridgewater Associates,"Westport, CT",Employee as of 03/19/2023,Office,1 yr,1 yr,"$110,000","$85,000",--,"$25,000"
Goldman Sachs,"New York, NY",Employee as of 03/19/2023,Hybrid,5-10 yrs,5-10 yrs,"$145,000","$145,000",--,--
One Medical,"San Francisco, CA",Employee as of 03/17/2023,Remote,1 yrs,5 yrs,"$135,000","$126,000","$9,000",--
Capital One,"West McLean, VA",Employee as of 03/17/2023,Office,2 yrs,2 yrs,"$123,300","$120,000",--,"$3,300"
Nike,Portland,Employee as of 03/17/2023,Hybrid,0-1 yrs,0-1 yrs,"$83,600","$76,000",--,"$7,600"
Apple,"Los Angeles, CA",Employee as of 03/17/2023,Hybrid,1 yrs,6 yrs,"$163,000","$163,000",--,--
Valera health,"Seattle, WA",Employee as of 03/17/2023,Remote,1 yrs,5 yrs,"$130,000","$120,000",--,"$10,000"
KPMG,"New York, NY",Employee as of 03/17/2023,Remote,2 yrs,2 yrs,"$87,800","$87,000",--,$800
McDonald's,"Chicago, IL",Employee as of 03/17/2023,Remote,1 yrs,8 yrs,"$130,000","$130,000",--,--
Google,"San Francisco, CA",Employee as of 03/17/2023,Office,3 yrs,5 yrs,"$265,500","$183,000","$55,000","$27,500"
SAP,"Philadelphia, PA",Employee as of 03/17/2023,Office,4 yrs,4 yrs,"$122,100","$90,100","$20,000","$12,000"
Delta Air Lines,"Atlanta, GA",Employee as of 03/17/2023,Hybrid,3 yrs,3 yrs,"$86,720","$82,720",--,"$4,000"
Expedia,"Seattle, WA",Employee as of 03/16/2023,Office,6 yrs,10 yrs,"$136,000","$136,000",--,--
Microsoft,"Seattle, WA",Employee as of 03/16/2023,Remote,6 yrs,20 yrs,"$245,000","$180,000","$40,000","$25,000"
